"JobID","SchoolID","SchoolCampus","DepartmentID","JobTitle"
"JOB1","ORPQMQ6W","Los Angeles","DEPT3","Professor"
"JOB8","ORPQMQ6W","Santa Barbara","DEPT3","Analyst"
"JOB6","ORPQMQ6W","Santa Barbara","DEPT3","Researcher"
"JOB3","ORPQMQ6W","Santa Barbara","DEPT3","Administrator"
"JOB1_1","ORPQMQ6W","Santa Barbara","DEPT3","Professor"
"JOB7","ORPQMQ6W","Santa Barbara","DEPT3","Scientist"
"JOB4","ORPQMQ6W","Santa Barbara","DEPT3","Coordinator"
"JOB2","ZGFQX77K","Dartmouth","DEPT9","Lecturer"
"JOB5","ZGFQX77K","Dartmouth","DEPT9","Engineer"
"JOB4_1","ZGFQX77K","Dartmouth","DEPT9","Coordinator"
"JOB4_2","F02K7A4X","Houston","DEPT1","Coordinator"
"JOB1_2","F02K7A4X","Houston","DEPT1","Professor"
"JOB7_1","F02K7A4X","Houston","DEPT1","Scientist"
"JOB8_1","F02K7A4X","Houston","DEPT1","Analyst"
"JOB2_1","F02K7A4X","Houston","DEPT1","Lecturer"
"JOB3_1","ORPQMQ6W","Davis","DEPT3","Administrator"
"JOB2_2","ORPQMQ6W","Davis","DEPT3","Lecturer"
"JOB6_1","F02K7A4X","Austin","DEPT1","Researcher"
"JOB1_3","F02K7A4X","Austin","DEPT1","Professor"
"JOB8_2","F02K7A4X","Austin","DEPT1","Analyst"
"JOB4_3","F02K7A4X","Austin","DEPT1","Coordinator"
"JOB6_2","ORPQMQ6W","Davis","DEPT3","Researcher"
"JOB5_1","ORPQMQ6W","Davis","DEPT3","Engineer"
"JOB7_2","ORPQMQ6W","Davis","DEPT3","Scientist"
"JOB8_3","ORPQMQ6W","Davis","DEPT3","Analyst"
"JOB5_2","ORPQMQ6W","Santa Barbara","DEPT3","Engineer"
"JOB8_4","ORPQMQ6W","Los Angeles","DEPT3","Analyst"
"JOB5_3","ORPQMQ6W","Los Angeles","DEPT3","Engineer"
"JOB2_3","ORPQMQ6W","Los Angeles","DEPT3","Lecturer"
"JOB7_3","ORPQMQ6W","Los Angeles","DEPT3","Scientist"
"JOB7_4","F02K7A4X","Austin","DEPT1","Scientist"
"JOB5_4","F02K7A4X","Austin","DEPT1","Engineer"
"JOB3_2","A77DVZPV","Springfield","DEPT3","Administrator"
"JOB2_4","A77DVZPV","Springfield","DEPT3","Lecturer"
"JOB1_4","2LMXJNVR","Orlando","DEPT10","Professor"
"JOB8_5","2LMXJNVR","Orlando","DEPT10","Analyst"
"JOB7_5","2LMXJNVR","Orlando","DEPT10","Scientist"
"JOB7_6","ORPQMQ6W","Berkeley","DEPT3","Scientist"
"JOB3_3","2LMXJNVR","Orlando","DEPT10","Administrator"
"JOB6_3","2LMXJNVR","Orlando","DEPT10","Researcher"
"JOB7_7","ZGFQX77K","Boston","DEPT9","Scientist"
"JOB6_4","ZGFQX77K","Boston","DEPT9","Researcher"
"JOB1_5","ZGFQX77K","Dartmouth","DEPT9","Professor"
"JOB3_4","ZGFQX77K","Dartmouth","DEPT9","Administrator"
"JOB6_5","ZGFQX77K","Dartmouth","DEPT9","Researcher"
